CODIGO,nombre,CATEGORIA,FECHA_INSTALACION,altitud,latitud,longitud,FECHA_SUSPENSION,ENTIDAD
26090340,GERTRUDIS  [26090340],Pluviométrica,1968-05-15 00:00:00,1082.0,3.58333333,-76.26666666999999,,ESTACIONES PARTICULARES
26090350,VIRGEN LA  [26090350],Pluviométrica,1969-08-15 00:00:00,3690.0,3.46666667,-76.03333332999999,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090360,MIRLAS LAS  [26090360],Pluviométrica,1969-08-15 00:00:00,2375.0,3.5,-76.15,1982-08-15 00:00:00,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090370,SELVA LA  [26090370],Pluviométrica,1969-11-15 00:00:00,3415.0,3.53333333,-76.08333332999999,1982-08-15 00:00:00,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090380,BELLAVISTA  [26090380],Pluviométrica,1969-09-15 00:00:00,2875.0,3.63333333,-76.0,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090390,SAN MIGUEL  [26090390],Pluviométrica,1968-05-15 00:00:00,1000.0,3.7,-76.36666667,,ESTACIONES PARTICULARES
26090400,AMBERES  [26090400],Pluviométrica,1969-08-15 00:00:00,2070.0,3.5166666699999998,-76.13333333,1982-08-15 00:00:00,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090410,STA RITA  [26090410],Pluviométrica,1969-08-15 00:00:00,3600.0,3.48333333,-76.05,1985-02-15 00:00:00,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090420,SIRENA LA  [26090420],Pluviométrica,1969-08-15 00:00:00,3800.0,3.46666667,-76.06666666999999,1981-03-15 00:00:00,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090430,SAN NICOLAS  [26090430],Pluviométrica,1969-08-15 00:00:00,2100.0,3.55,-76.16666667,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090440,PLANTA NIMA 1  [26090440],Pluviométrica,1970-03-15 00:00:00,1170.0,3.55,-76.21666667,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090450,VERANERAS LAS  [26090450],Pluviométrica,1970-02-15 00:00:00,1440.0,3.55,-76.11666667,1990-05-15 00:00:00,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090460,PARAISO EL [26090460],Pluviométrica,1970-03-15 00:00:00,1305.0,3.64972222,-76.19972222000001,,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
26090470,MIRAFLORES  [26090470],Pluviométrica,1971-01-15 00:00:00,1824.0,3.85,-76.21666667,1972-04-15 00:00:00,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090480,PRIMAVERA LA  [26090480],Pluviométrica,1971-01-15 00:00:00,1644.0,3.9166666699999997,-76.2,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090490,ALTOBELLO  [26090490],Pluviométrica,1969-08-15 00:00:00,2400.0,3.56666667,-76.15,1974-12-15 00:00:00,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090500,ALBANIA  [26090500],Pluviométrica,1969-08-15 00:00:00,2050.0,3.53333333,-76.15,1982-08-15 00:00:00,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090510,AUJI  [26090510],Pluviométrica,1970-12-15 00:00:00,1555.0,3.63333333,-76.1,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090520,CASTILLO EL  [26090520],Pluviométrica,1970-12-15 00:00:00,1424.0,3.6666666699999997,-76.2,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090530,DILUVIO EL  [26090530],Pluviométrica,1971-01-15 00:00:00,2360.0,3.88333333,-76.15,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090540,JANEIRO EL  [26090540],Pluviométrica,1971-02-15 00:00:00,2000.0,3.86666667,-76.2,1991-06-15 00:00:00,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090550,PATAGONIA LA  [26090550],Pluviométrica,1971-03-15 00:00:00,1950.0,3.83333333,-76.21666667,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090560,CEJA LA  [26090560],Pluviométrica,1971-02-15 00:00:00,3052.0,3.71666667,-76.01666666999999,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090570,SELVA LA 26  [26090570],Pluviométrica,1971-02-15 00:00:00,1704.0,3.75,-76.21666667,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090580,DOSQUEBRADAS  [26090580],Pluviométrica,1971-02-15 00:00:00,1650.0,3.9166666699999997,-76.18333333,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
